HBA,HBD,TPSA,dipole,excitation_energy_1,excitation_energy_2,excitation_energy_3,excitation_energy_4,homo_energy,homo_lumo_gap,logP,lumo_energy,melting_point,molecular_refractivity,oscillator_strength_1,oscillator_strength_2,oscillator_strength_3,oscillator_strength_4,pccdb_id,smiles
5,3,92.42,3.56,5.516,5.621,5.829,5.893,-6.493,6.49,0.221,-0.003,165.08,29.21,0.0054,0.0012,0.0008,0.0113,111,OC(=O)CCNC(=N)O
8,4,151.17,2.71,3.421,4.252,4.846,4.971,-7.706,5.015,-1.89,-2.691,171.66,36.55,0.0001,0.018,0.0018,0.0,113,O[C@H](C(=O)C(=O)O)COP(=O)(O)O
3,1,50.19,2.48,4.818,5.101,5.352,5.682,-6.895,6.212,1.489,-0.683,97.82,45.4,0.0041,0.0002,0.0431,0.0008,114,OC(=O)CCCc1cccnc1
4,3,92.0,6.71,4.764,5.105,5.373,5.488,-5.889,5.652,0.271,-0.237,207.58,29.95,0.0065,0.1625,0.0322,0.026,117,Nc1c(nc[nH]1)C(=O)O
2,1,43.09,4.3,4.209,5.4,5.775,6.192,-6.588,6.196,0.625,-0.392,60.74,24.25,0.0001,0.016,0.0051,0.0034,118,NCCCC=O
3,2,63.32,6.63,5.49,5.994,6.359,6.747,-6.629,7.372,0.51,0.743,106.17,25.82,0.002,0.0049,0.0132,0.0017,119,NCCCC(=O)O
6,2,108.74,4.51,3.255,3.863,4.124,4.408,-7.225,4.615,-0.37,-2.61,179.0,44.04,0.0003,0.0001,0.0067,0.0008,122,O=C(CC(=O)CC(=O)O)/C=C/C(=O)O
5,3,107.49,8.69,5.361,5.382,5.513,5.822,-6.12,6.936,0.626,0.816,176.1,38.16,0.002,0.0015,0.002,0.0052,123,[NH][C](CCCNC(=[NH2])[NH])O
4,2,74.6,2.11,3.196,4.219,5.074,5.688,-7.094,4.814,-0.589,-2.28,91.27,29.28,0.0002,0.0012,0.003,0.0294,124,C[C@@H](CC(=O)C(=O)O)O
2,2,40.46,1.4,4.931,5.209,5.531,5.769,-5.94,5.84,0.884,-0.101,66.74,34.59,0.0284,0.0008,0.1236,0.0067,125,OCc1ccc(cc1)O
3,2,57.53,5.17,4.851,5.376,5.479,5.573,-6.37,5.676,1.019,-0.694,124.62,40.01,0.0251,0.0023,0.0396,0.0979,127,OC(=O)Cc1ccc(cc1)O
5,2,78.76,3.93,4.898,5.451,5.709,5.754,-6.996,6.046,-0.858,-0.95,139.61,44.54,0.0025,0.0755,0.0022,0.0006,128,OC(=O)CC[C@H]1N=CN=C1O
1,0,17.07,2.55,4.338,6.458,6.86,7.132,-6.857,6.359,1.621,-0.498,5.16,31.16,0.0002,0.0235,0.0352,0.0022,129,O=CCCC(C)C
4,2,80.39,5.01,4.254,4.972,5.093,5.534,-6.928,5.464,0.079,-1.464,126.9,30.83,0.0002,0.0006,0.0004,0.0013,137,NCC(=O)CCC(=O)O
3,2,63.32,7.22,5.568,5.847,6.397,6.504,-6.425,7.464,0.9,1.039,105.51,30.63,0.0015,0.0051,0.0121,0.0071,138,NCCCCC(=O)O
